jobs	Cat	Value
Doctores	Girls2018	15.62
Profesores	Girls2018	9.45
Gerentes de comercio	Girls2018	4.98
Ingenieros	Girls2018	1.83
Abogados	Girls2018	4.56
Policías	Girls2018	2.25
Profesionales de las TIC	Girls2018	0.86
Enfermeros y parteras	Girls2018	4.48
Diseñadores	Girls2018	3.01
Psicólogos	Girls2018	3.67
Arquitectos	Girls2018	2.1
Veterinarios	Girls2018	2.76
Actores	Girls2018	1.42
Mecánicos automotivos	Girls2018	0.14
Intérpretes de mùsica	Girls2018	1.02
Doctores	Boys2018	6
Profesores	Boys2018	4.59
Gerentes de comercio	Boys2018	6.69
Ingenieros	Boys2018	7.68
Abogados	Boys2018	2.39
Policías	Boys2018	4.03
Profesionales de las TIC	Boys2018	5.47
Enfermeros y parteras	Boys2018	0.57
Diseñadores	Boys2018	1.93
Psicólogos	Boys2018	0.69
Arquitectos	Boys2018	2.25
Veterinarios	Boys2018	1.03
Actores	Boys2018	1.54
Mecánicos automotivos	Boys2018	2.79
Intérpretes de mùsica	Boys2018	1.28
Doctores	Girls2000	11
Profesores	Girls2000	11.12
Gerentes de comercio	Girls2000	3.05
Ingenieros	Girls2000	1.16
Abogados	Girls2000	6.16
Policías	Girls2000	0.9
Profesionales de las TIC	Girls2000	1.6
Enfermeros y parteras	Girls2000	3.19
Diseñadores	Girls2000	1.98
Psicólogos	Girls2000	3.92
Arquitectos	Girls2000	1.26
Veterinarios	Girls2000	2.92
Actores	Girls2000	1.65
Mecánicos automotivos	Girls2000	0.07
Intérpretes de mùsica	Girls2000	1.25
Doctores	Boys2000	4.89
Profesores	Boys2000	3.95
Gerentes de comercio	Boys2000	7.17
Ingenieros	Boys2000	6.12
Abogados	Boys2000	3.87
Policías	Boys2000	1.87
Profesionales de las TIC	Boys2000	6.77
Enfermeros y parteras	Boys2000	0.14
Diseñadores	Boys2000	0.93
Psicólogos	Boys2000	0.43
Arquitectos	Boys2000	1.89
Veterinarios	Boys2000	1.18
Actores	Boys2000	1.04
Mecánicos automotivos	Boys2000	2.67
Intérpretes de mùsica	Boys2000	1.41
