jobs	Cat	Value
Doctors	Girls2018	15.62
Teachers	Girls2018	9.45
Business managers	Girls2018	4.98
Engineers	Girls2018	1.83
Lawyers	Girls2018	4.56
Police officers	Girls2018	2.25
ICT professionals	Girls2018	0.86
Nursing and midwives	Girls2018	4.48
Designers	Girls2018	3.01
Psychologists	Girls2018	3.67
Architects	Girls2018	2.1
Veterinarians	Girls2018	2.76
Actors	Girls2018	1.42
Motor vehicle mechanics	Girls2018	0.14
Musical performers	Girls2018	1.02
Doctors	Boys2018	6
Teachers	Boys2018	4.59
Business managers	Boys2018	6.69
Engineers	Boys2018	7.68
Lawyers	Boys2018	2.39
Police officers	Boys2018	4.03
ICT professionals	Boys2018	5.47
Nursing and midwives	Boys2018	0.57
Designers	Boys2018	1.93
Psychologists	Boys2018	0.69
Architects	Boys2018	2.25
Veterinarians	Boys2018	1.03
Actors	Boys2018	1.54
Motor vehicle mechanics	Boys2018	2.79
Musical performers	Boys2018	1.28
Doctors	Girls2000	11
Teachers	Girls2000	11.12
Business managers	Girls2000	3.05
Engineers	Girls2000	1.16
Lawyers	Girls2000	6.16
Police officers	Girls2000	0.9
ICT professionals	Girls2000	1.6
Nursing and midwives	Girls2000	3.19
Designers	Girls2000	1.98
Psychologists	Girls2000	3.92
Architects	Girls2000	1.26
Veterinarians	Girls2000	2.92
Actors	Girls2000	1.65
Motor vehicle mechanics	Girls2000	0.07
Musical performers	Girls2000	1.25
Doctors	Boys2000	4.89
Teachers	Boys2000	3.95
Business managers	Boys2000	7.17
Engineers	Boys2000	6.12
Lawyers	Boys2000	3.87
Police officers	Boys2000	1.87
ICT professionals	Boys2000	6.77
Nursing and midwives	Boys2000	0.14
Designers	Boys2000	0.93
Psychologists	Boys2000	0.43
Architects	Boys2000	1.89
Veterinarians	Boys2000	1.18
Actors	Boys2000	1.04
Motor vehicle mechanics	Boys2000	2.67
Musical performers	Boys2000	1.41
