Country	Sector	Value
Alemania	Total de sectores más afectados	45.12088013
Alemania	 Artes, entretenimiento y otros servicios	59.89112854
Austria	Total de sectores más afectados	43.75185013
Austria	Artes, entretenimiento y otros servicios	56.78730392
Bélgica	Total de sectores más afectados	46.03871536
Bélgica	Hoteles y restaurantes	64.24868774
Dinamarca	Total de sectores más afectados	31.49908257
Dinamarca	Hoteles y restaurantes	46.30830765
Eslovenia	Total de sectores más afectados	38.19611359
Eslovenia	Artes, entretenimiento y otros servicios	50.96447754
España	Total de sectores más afectados	54.82126236
España	Artes, entretenimiento y otros servicios	60.99769592
Estonia	Total de sectores más afectados	29.88090897
Estonia	Servicios profesionales e inmobiliarios	42.692173
Finlandia	Total de sectores más afectados	36.19364166
Finlandia	Artes, entretenimiento y otros servicios	54.5923996
Francia	Total de sectores más afectados	40.18207932
Francia	Artes, entretenimiento y otros servicios	56.69309235
Grecia	Total de sectores más afectados	51.71706009
Grecia	 Servicios profesionales e inmobiliarios	60.98069
Hungría	Total de sectores más afectados	25.73855019
Hungría	Artes, entretenimiento y otros servicios	40.71335983
Irlanda	Total de sectores más afectados	39.68467712
Irlanda	Artes, entretenimiento y otros servicios	53.70707703
Islandia	Total de sectores más afectados	33.59292984
Islandia	Artes, entretenimiento y otros servicios	50.94135666
Italia	Total de sectores más afectados	62.94317245
Italia	Servicios profesionales e inmobiliarios	72.51631927
Letonia	Total de sectores más afectados	18.7419796
Letonia	Artes, entretenimiento y otros servicios	29.25619125
Lituania	Total de sectores más afectados	21.01750755
Lituania	Artes, entretenimiento y otros servicios	42.63946152
Luxemburgo	Total de sectores más afectados	30.0409584
Luxemburgo	Artes, entretenimiento y otros servicios	49.81304169
Noruega	Total de sectores más afectados	30.62879372
Noruega	Artes, entretenimiento y otros servicios	49.16706085
Países Bajos	Total de sectores más afectados	60.82234192
Países Bajos	Artes, entretenimiento y otros servicios	79.68976593
Polonia	Total de sectores más afectados	47.60055923
Polonia	Hoteles y restaurantes	54.06742477
Portugal	Total de sectores más afectados	45.73471832
Portugal	Artes, entretenimiento y otros servicios	57.30051804
Reino Unido	Total de sectores más afectados	43.73591614
Reino Unido	Artes, entretenimiento y otros servicios	54.8662262
República Checa	Total de sectores más afectados	40.6601181
República Checa	Servicios profesionales e inmobiliarios	52.12718582
República Eslovaca	Total de sectores más afectados	35.07911301
República Eslovaca	Construcción	47.85551453
Suecia	Total de sectores más afectados	36.2852478
Suecia	 Hoteles y restaurantes	54.27419662
Suiza	Total de sectores más afectados	48.5872345
Suiza	Artes, entretenimiento y otros servicios	72.10324097
